"date","close","volume","open","high","low"
"2018/01/16","221.5300","13495260.0000","224.2400","226.0700","217.2000"
"2018/01/12","221.2300","8190531.0000","217.1800","222.5500","216.0000"
"2018/01/11","217.2400","6988980.0000","214.2900","217.7500","213.3500"
"2018/01/10","212.5200","5948247.0000","207.5700","213.6400","206.9100"
"2018/01/09","209.3100","6111640.0000","212.1100","212.9800","208.5900"
"2018/01/08","212.0500","5550909.0000","210.0200","212.5000","208.4400"
"2018/01/05","209.9900","7003241.0000","207.2500","210.0200","205.5900"
"2018/01/04","205.6300","6019937.0000","206.2000","207.0500","204.0006"
"2018/01/03","205.0500","8585808.0000","202.0500","206.2100","201.5000"
"2018/01/02","201.0700","10891830.0000","196.1000","201.6500","195.4200"
"2017/12/29","191.9600","5180539.0000","192.5100","193.9500","191.2200"
"2017/12/28","192.7100","10097040.0000","187.1800","194.4900","186.8500"
"2017/12/27","186.2400","3990782.0000","187.8000","188.1000","185.2200"
"2017/12/26","187.7600","3044444.0000","189.7800","189.9400","186.4000"
"2017/12/22","189.9400","3772823.0000","188.3300","190.9500","186.8000"
"2017/12/21","188.6200","3548372.0000","189.4400","190.9500","187.5800"
"2017/12/20","188.8200","6408432.0000","187.9400","189.1100","185.2600"
"2017/12/19","187.0200","7025428.0000","190.1800","190.2981","185.7500"
"2017/12/18","190.4200","5007915.0000","191.2000","191.6500","188.9000"
"2017/12/15","190.1200","7272899.0000","189.6100","191.4300","188.0100"
"2017/12/14","189.5600","7758883.0000","187.9800","192.6400","187.2000"
"2017/12/13","187.8600","4702165.0000","186.1000","188.6900","185.4100"
"2017/12/12","185.7300","4165826.0000","186.0100","187.8500","184.8183"
"2017/12/11","186.2200","5253442.0000","187.8500","189.4200","185.9100"
"2017/12/08","188.5400","4964188.0000","186.5000","189.4200","186.3000"
"2017/12/07","185.2000","4656700.0000","185.7100","187.3400","183.2200"
"2017/12/06","185.3000","5355126.0000","183.3800","186.4844","182.8800"
"2017/12/05","184.2100","5781783.0000","183.5000","188.1400","181.1900"
"2017/12/04","184.0400","9066897.0000","189.3600","189.7200","178.3800"
"2017/12/01","186.8200","6216025.0000","186.9900","189.8000","185.0000"
"2017/11/30","187.5800","6615516.0000","190.3100","190.8600","186.6800"
"2017/11/29","188.1500","14180450.0000","198.9100","199.0290","184.3200"
"2017/11/28","199.1800","6975416.0000","195.3400","199.6800","194.0100"
"2017/11/27","195.0500","3200207.0000","195.5600","195.8500","194.0000"
"2017/11/24","195.7500","2160535.0000","196.6500","196.9000","195.3300"
"2017/11/22","196.3200","5892321.0000","196.5800","196.7500","193.6300"
"2017/11/21","196.2300","4618281.0000","195.0400","197.5200","194.9710"
"2017/11/20","194.1000","3748824.0000","193.3000","194.3200","191.9000"
"2017/11/17","193.2000","3902383.0000","195.7400","195.9500","192.6500"
